Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,1.0196625817475922,3.4173862952063685e-27,-0.18041918731575562,-1.8760072461303471e-13,-0.09805982467069076,-3.0285607115934284e-12
0.004010237096860553,1.0196615668828732,-0.0003932384985572269,-0.18041507352681013,-0.0005061365158997318,-0.09805634751719534,0.0020516512947649818
0.011768066340914464,1.0196538424806556,-0.001153857059821812,-0.18038376114026441,-0.001485238497001299,-0.09802987916796489,0.006020920611298277
0.01953018371817065,1.0196385120317626,-0.0019145894250295159,-0.18032160955989404,-0.002464815683999552,-0.09797733325268698,0.0099933790447479
0.02729736834630814,1.0196155609323667,-0.0026753087372417524,-0.18022854651613246,-0.0034449225927069478,-0.09789863039243761,0.01397008623820836
0.035069810091897906,1.0195849744661956,-0.003435829253461096,-0.18010449271153467,-0.004425539021747235,-0.09779367603224275,0.017951806072684876
0.04284771421733827,1.0195467374258578,-0.004195965469580882,-0.1799493602032559,-0.005406646285439958,-0.0976623589112292,0.021939317413315257
0.050631283510081296,1.0195008341549399,-0.004955530204761897,-0.1797630524758185,-0.006388224877759246,-0.09750455092322413,0.025933406387294234
0.058420748250190856,1.019447248343398,-0.005714337352086489,-0.1795454634963664,-0.007370258167704567,-0.09732010607511654,0.02993488324387709
0.06621635393699182,1.019385962999848,-0.006472200486769863,-0.17929647746964641,-0.008352730762160167,-0.09710885999356546,0.03394457763783657
0.07401836284409909,1.0193169603676897,-0.007228932816382944,-0.17901596834635522,-0.009335628609700485,-0.09687062917648577,0.0379633410715889
0.08182706101181429,1.0192402217766192,-0.007984347643080326,-0.17870379904845515,-0.010318939784547784,-0.09660520995393072,0.04199205223297746
0.0896427641612682,1.019155727465749,-0.008738258697580355,-0.17835982055621197,-0.011302655127819033,-0.09631237727587395,0.046031621906884555
0.09746580530461743,1.0190634565973944,-0.009490478688982526,-0.177983871747303,-0.012286766578972527,-0.09599188408059975,0.05008298854639789
0.10529654483786892,1.018963387046373,-0.010240820011689519,-0.1775757782971029,-0.013271268332291598,-0.09564345980051936,0.05414712556927766
0.11313536622577422,1.0188554953358835,-0.010989094042036365,-0.17713535214800608,-0.014256156172996179,-0.09526680928216416,0.05822504135131181
0.12098264988244631,1.018739756932032,-0.011735108356830969,-0.17666239241672668,-0.015241424071871519,-0.09486161286470182,0.06231776794986964
0.12883878206023808,1.0186161461256342,-0.012478667306152063,-0.17615668459211506,-0.016227065178300207,-0.09442752492342693,0.06642636809057724
0.13670412413827443,1.0184846365441689,-0.013219568831115336,-0.17561800228341462,-0.017213067840354243,-0.0939641745210432,0.07055192156973637
0.14457898594240207,1.0183452017732226,-0.013957601735033697,-0.17504610940378473,-0.018199412143606743,-0.09347116636798805,0.07469551362932522
0.15246359942645835,1.0181978161302796,-0.014692543070256468,-0.1744407629715812,-0.01918606651052583,-0.09294808225399404,0.0788582233555127
0.16035803670021637,1.0180424567185504,-0.015424150480096849,-0.17380172118092913,-0.02017297736510464,-0.09239448699425226,0.08304108231594401
0.16826216076339867,1.0178791052758362,-0.016152157852508016,-0.17312875068239744,-0.02116006294811425,-0.09180993370876257,0.0872450496523409
0.17617549625867251,1.0177077520882432,-0.01687626392219208,-0.1724216424530814,-0.02214719721564051,-0.09119397662025618,0.09147094361093032
0.18409711964583503,1.0175284002213163,-0.017596123218718496,-0.1716802291474884,-0.023134196293048255,-0.09054618532944256,0.09571938146925314
0.19202545580511243,1.0173410726582939,-0.018311329204025895,-0.17090441471477832,-0.02412079343626528,-0.08986617011438347,0.09999066677553939
0.19995807312070718,1.0171458206765767,-0.019021398352467207,-0.17009420955616972,-0.02510661406680727,-0.08915361264775166,0.10428467172694407
0.207891401372959,1.0169427354384915,-0.019725748637536726,-0.1692497795892319,-0.02609114154195625,-0.08840830976449564,0.10860067264998095
0.2158204345060211,1.0167319616310264,-0.020423678433538858,-0.16837150464435882,-0.02707368149364644,-0.08763022669185784,0.11293717021807416
0.22373840410113202,1.0165137136251732,-0.02111434488774182,-0.16746004841249018,-0.028053323069504966,-0.08681956216209656,0.11729168513156876
0.2316365182298309,1.0162882915562694,-0.021796750276851146,-0.1665164293651902,-0.029028908871611556,-0.08597681650594345,0.12166057986791949
0.23950382058289008,1.01605609515447,-0.02246974081978861,-0.16554208367830212,-0.029999020330062673,-0.08510285501148447,0.1260389373514904
0.24732728875502652,1.0158176307262758,-0.02313202731660969,-0.16453890076497527,-0.0309619929943323,-0.0841989491303016,0.1304205652709866
0.2550922335677813,1.0155735075904448,-0.02378223120272492,-0.16350921537771934,-0.03191596896350251,-0.08326678042976034,0.1347981668097097
0.26278304431495164,1.0153244204049887,-0.024418957499543172,-0.16245574035751922,-0.03285899139880645,-0.08230839154540781,0.13916371211827036
0.2703841882765131,1.0150711182077548,-0.025040884446385202,-0.16138144225472642,-0.03378912919603415,-0.08132608416071048,0.14350896954900808
0.27788127311628386,1.014814365307268,-0.02564685212806283,-0.16028938034951498,-0.03470460784037653,-0.08032228066830394,0.14782609650718112
0.28526194739409055,1.0145549019223936,-0.026235931278971926,-0.15918254180744937,-0.03560391877289621,-0.07929937802927167,0.1521081645512145
0.2925164786103077,1.0142934118386933,-0.02680746044707738,-0.15806370378969836,-0.036485887902333404,-0.0782596217874264,0.1563495228348167
0.29963793496383234,1.0140305022078324,-0.02736104797120146,-0.15693534495174355,-0.0373496948321667,-0.07720502169618973,0.16054594830250432
0.3066220450198819,1.0137666953209965,-0.027896547355160988,-0.1557996065845161,-0.03819485251549621,-0.07613731066564193,0.16469461497709456
0.3134668375015143,1.0135024303820275,-0.028414016265671808,-0.15465829594002678,-0.03902116033326287,-0.07505794167761605,0.16879393286276476
0.3201721941673725,1.0132380712197855,-0.02891367085559007,-0.15351291510001372,-0.039828647096927405,-0.07396810842292051,0.17284332862126153
0.32673939809426156,1.0129739169523044,-0.029395842279301344,-0.15236470301781227,-0.04061751410422063,-0.07286877889103939,0.17684301402681873
0.33317073126233293,1.01271021322091,-0.02986093947614033,-0.15121468069192887,-0.04138808477578773,-0.07176073288092587,0.1807937739631127
0.3394691517380814,1.0124471622737419,-0.030309420111793803,-0.15006369205698833,-0.042140764440592636,-0.07064459649671292,0.18469679344256185
0.3456380408042839,1.0121849317387177,-0.030741768478642423,-0.14891243983165423,-0.04287600899285021,-0.06952087283263525,0.18855351961252798
0.35168101205828073,1.0119236619524827,-0.031158479321882065,-0.14776151564817153,-0.04359430135171816,-0.06838996807383728,0.19236555563536506
0.35760177354115547,1.011663471838345,-0.031560046540676304,-0.14661142432051033,-0.04429613455045369,-0.0672522127094105,0.1961345825984096
0.363404044426027,1.0114044629385457,-0.03194695646852438,-0.1454626003743169,-0.044982001531179504,-0.06610787578923957,0.1998623121580267
0.36909148506596134,1.0111467231767661,-0.032319682633934456,-0.14431542368955014,-0.04565238668039284,-0.06495717881173109,0.20355044504148656
0.3746676535804904,1.0108903296513423,-0.03267868274160688,-0.1431702311130458,-0.046307760627540454,-0.06380030606058908,0.20720064444243436
0.38013598399429327,1.0106353505526313,-0.0330243973508053,-0.14202732436791352,-0.04694857766490521,-0.06263741156413015,0.21081452199354275
0.38549977489618437,1.010381846622881,-0.033357249397891885,-0.1408869760575041,-0.047575274452368185,-0.06146862436675325,0.214393629780473
0.3907621800166221,1.0101298725232573,-0.03367764395674226,-0.13974943536859843,-0.04818826898191642,-0.06029405369701237,0.21793945300049178
0.3959262074489852,1.0098794777705506,-0.03398596861659284,-0.1386149319369269,-0.04878796057736297,-0.059113792429072165,0.22145340792416732
0.4009947253870844,1.0096307073124962,-0.034282594280265324,-0.13748367814419934,-0.04937473066174182,-0.05792791903543581,0.22493684407865533
0.40597046341557763,1.0093836022649032,-0.03456787570365059,-0.13635587220002138,-0.04994894301207608,-0.05673650044872876,0.22839104331847396
0.41085601899409585,1.0091382003445042,-0.0348421523459744,-0.13523169989094463,-0.05051094461939016,-0.05553959362175911,0.23181722237085053
0.41565386522725706,1.0088945361791342,-0.0351057492724221,-0.134111335799474,-0.05106106669250633,-0.0543372465810857,0.23521653633816192
0.4203663561577416,1.0086526416877815,-0.03535897789563297,-0.13299494487003358,-0.05159962537201751,-0.05312949989974306,0.238590080532267
0.4249957387924019,1.0084125460629083,-0.03560213705264005,-0.13188268216124197,-0.05212692320738877,-0.051916386248252754,0.24193889722636705
0.4295441525278654,1.008174276351055,-0.03583551337753995,-0.1307746953771623,-0.05264324918730684,-0.0506979329849294,0.24526397349221338
0.43401364000935316,1.0079378574029003,-0.0360593822641937,-0.12967112450505297,-0.05314888007069308,-0.04947416164802058,0.2485662473135031
0.4384061546421931,1.0077033119469696,-0.03627400860638473,-0.12857210202308247,-0.05364408132326539,-0.04824508805639299,0.25184661151471494
0.4427235633286738,1.0074706608789599,-0.03647964727499807,-0.12747775412695303,-0.054129107507837726,-0.04701072356395041,0.2551059142608153
0.4469676547500358,1.0072399232215015,-0.0366765438442392,-0.12638820042395255,-0.054604203294138474,-0.045771074623032454,0.25834496378876615
0.45114014189569235,1.0070111163598008,-0.03686493501438996,-0.12530355492847814,-0.05506960381418492,-0.04452614382010029,0.26156452894029225
0.4552426669502126,1.0067842561235516,-0.0370450491307869,-0.12422392634634576,-0.05552553527855598,-0.04327593013480076,0.2647653415341446
0.45927681260336317,1.006559356481322,-0.03721710694819383,-0.12314941650923467,-0.05597221629573099,-0.042020427037292044,0.267948103954089
0.46324409400541,1.006336430283375,-0.03738132153206388,-0.12208012380947528,-0.05640985703712825,-0.040759626399333795,0.2711134816865277
0.46714597140273345,1.0061154888381043,-0.03753789904757352,-0.12101614108746771,-0.0568386606948204,-0.03949351598624671,0.27426211209323087
0.47098385201257054,1.0058965420605173,-0.03768703905105819,-0.11995755623864153,-0.057258823735988444,-0.03822208008562191,0.277394604929135
0.4747590927573262,1.0056795985563312,-0.03782893480751542,-0.11890445252078632,-0.05767053624987671,-0.03694529980237024,0.2805115435808018
0.4784730024284384,1.0054646657229915,-0.037963773574876306,-0.11785690895050516,-0.058073982229418585,-0.03566315347613551,0.28361348588656965
0.4821268444535467,1.0052517498013742,-0.038091736899889976,-0.11681500046659675,-0.05846933991572621,-0.03437561682946663,0.28670096550406005
0.4857218407324897,1.0050408558498078,-0.03821300093501358,-0.11577879771418156,-0.058856782253461803,-0.03308266264516889,0.28977449427327817
0.48925917330648994,1.0048319878299878,-0.03832773666316356,-0.11474836737593906,-0.059236477106978304,-0.031784261113382,0.2928345628440328
0.49273998712034983,1.0046251486169875,-0.038436110148779894,-0.11372377213408032,-0.059608587591330364,-0.030480379723303832,0.2958816422928541
0.4961653920624071,1.0044203400399423,-0.03853828275181702,-0.11270507078366757,-0.059973272321759356,-0.029170983340063544,0.2989161851969423
0.49953646177380745,1.0042175631071903,-0.03863441124091226,-0.11169231927138108,-0.06033068531826944,-0.027856035490265035,0.30193862385674947
0.5028542398003142,1.0040168177827042,-0.03872464811573972,-0.11068556950467504,-0.06068097668913901,-0.026535496783648756,0.30494937507824516
0.5061197396047629,1.0038181031188977,-0.03880914173049402,-0.1096848699292018,-0.06102429265599709,-0.025209325588212362,0.30794883962283626
0.5093339450346479,1.0036214173566949,-0.038888036432322484,-0.10869026595446016,-0.061360775628275556,-0.023877478540021486,0.31093740202896153
0.512497812984212,1.0034267578846567,-0.038961472749510284,-0.10770179967264702,-0.06169056450645266,-0.02253991012043998,0.31391543248788084
0.5156122741038922,1.0032341213095908,-0.03902958752069816,-0.10671951013984358,-0.062013794777583106,-0.02119657297589972,0.31688328697816887
0.5186782338908008,1.0030435034980123,-0.039092514029456224,-0.10574343351454686,-0.062330598649774575,-0.019847418056773515,0.3198413077705056
0.5216965737324196,1.0028548996146462,-0.03915038213249884,-0.10477360318430788,-0.06264110518039871,-0.01849239474527272,0.32278982391618993
0.5246681537147831,1.0026683040443158,-0.03920331841278927,-0.10381004929202803,-0.06294544058318106,-0.017131450135891742,0.32572915352143506
